WSPD,WVHT,APD
8.9,4.25,7.40
8.2,4.59,8.01
6.9,3.93,7.77
6.6,4.20,8.09
6.4,4.05,7.97
7.2,3.71,7.76
7.4,3.57,7.78
9.1,3.60,7.86
9.5,3.70,7.67
8.9,3.86,7.44
8.2,3.77,7.54
7.1,4.45,8.52
6.9,4.25,8.07
7.3,4.27,8.41
8.8,4.63,8.47
9.7,4.13,7.64
11.4,4.37,7.78
12.9,3.82,7.24
13.1,3.92,7.04
13.7,4.09,6.82
12.4,3.95,6.77
10.6,4.07,7.26
8.0,4.22,7.38
8.3,4.27,7.73
6.0,4.30,7.76
3.1,4.28,7.80
1.6,4.26,7.90
0.4,4.26,7.84
2.5,3.90,7.88
5.0,3.76,7.95
5.2,3.90,8.13
4.7,3.74,8.09
6.2,3.23,7.72
7.8,3.32,8.00
8.9,3.32,7.47
10.9,3.24,7.36
11.3,2.95,6.35
11.9,2.74,5.85
12.4,2.87,5.70
11.2,2.95,5.88
11.7,2.55,5.39
10.0,2.78,5.79
9.8,2.76,5.90
10.0,2.44,5.49
9.3,2.58,5.79
9.0,2.81,5.84
8.8,2.95,6.02
7.4,2.57,5.78
8.1,2.85,5.91
7.3,2.61,5.69
6.1,2.61,5.94
3.8,2.52,5.91
1.6,2.50,6.03
4.3,2.79,6.55
5.3,2.43,6.56
8.4,2.43,6.59
12.8,2.58,5.51
11.9,2.92,5.68
10.8,2.77,5.87
9.4,3.28,6.27
8.9,3.22,6.21
8.3,3.42,6.62
7.1,3.26,6.57
6.7,3.46,6.94
3.0,3.49,7.22
5.5,3.76,7.57
4.4,4.21,7.83
4.0,3.82,7.82
2.7,3.75,7.54
2.9,3.50,7.40
0.6,3.86,7.99
2.0,3.81,8.01
2.1,4.85,8.85
0.6,4.39,8.32
0.4,4.24,8.15
2.2,4.29,8.30
4.8,3.99,8.61
6.4,3.63,8.00
7.0,3.50,7.94
7.1,3.37,7.55
6.5,3.34,7.65
6.9,3.39,7.73
7.3,3.43,7.62
7.5,3.23,7.51
5.8,3.21,7.46
5.0,3.00,7.19
4.8,3.15,7.47
5.6,2.95,7.21
3.9,3.08,7.46
3.9,3.05,7.41
2.7,3.13,7.46
0.7,2.90,7.45
1.8,2.92,7.53
4.2,2.78,7.46
4.3,2.76,7.63
4.9,2.53,7.24
6.0,2.40,7.17
7.9,2.40,6.80
9.1,2.09,6.15
9.6,2.15,5.77
10.5,2.27,5.91
12.2,2.34,5.31
12.5,2.34,5.20
13.0,2.62,5.24
13.3,2.90,5.46
13.2,3.34,5.69
13.5,3.41,5.93
13.9,3.50,6.01
13.7,3.31,5.94
14.1,3.66,6.20
12.7,4.26,6.54
13.6,4.00,6.51
11.8,3.97,6.65
10.4,3.98,6.80
9.5,4.06,6.95
8.1,3.64,6.68
10.3,3.22,6.72
8.2,3.88,7.30
9.5,3.64,7.10
9.7,3.88,7.34
8.4,3.41,7.07
7.5,3.59,7.20
7.5,3.51,7.07
8.1,3.61,7.34
5.1,3.58,7.36
5.9,4.12,7.85
7.6,3.80,7.85
8.0,3.60,7.60
8.9,3.98,8.14
9.3,3.79,7.74
10.4,3.85,7.53
11.3,4.41,7.93
10.3,4.59,8.24
10.3,4.38,7.75
8.9,4.28,8.03
10.6,4.18,7.80
10.8,4.41,8.14
9.9,4.49,8.31
9.1,4.30,7.81
7.4,5.32,8.96
7.3,4.84,8.93
5.6,5.19,8.91
6.5,5.31,9.59
5.5,5.05,9.10
5.2,4.49,8.76
4.8,4.95,9.11
2.8,4.66,9.09
2.4,4.48,9.38
2.0,4.28,8.81
2.5,3.87,8.56
4.1,3.99,8.74
5.2,3.59,8.35
5.8,3.44,8.42
5.4,3.71,8.63
6.5,3.62,8.82
6.1,3.58,8.57
6.2,3.71,8.45
7.4,3.91,8.44
5.9,3.74,8.40
6.5,3.63,8.29
7.1,3.52,8.04
5.3,3.38,8.19
6.2,3.19,7.76
6.8,3.12,7.48
7.8,3.17,7.67
8.0,3.25,7.52
6.9,2.84,7.13
8.4,3.35,7.41
7.4,3.41,7.45
7.5,3.16,7.16
6.4,3.82,8.15
