WSPD,WVHT,APD
8.5,1.25,4.98
5.5,1.31,5.03
7.6,1.24,5.13
6.8,1.29,5.01
7.2,1.22,4.90
5.5,1.20,5.02
5.8,1.11,4.94
8.9,1.11,5.06
10.3,1.20,4.72
9.0,1.27,4.56
11.0,1.25,4.55
12.9,1.46,4.64
11.6,1.66,4.72
12.0,1.94,5.13
11.5,1.92,5.24
11.2,2.17,5.46
10.9,2.26,5.56
10.9,2.27,5.81
11.9,2.44,5.76
11.8,2.64,6.01
11.6,2.73,6.05
11.6,99.00,99.00
15.0,2.73,5.93
13.9,99.00,99.00
14.1,3.05,6.03
13.6,2.99,5.93
12.4,2.81,5.95
12.4,2.75,5.89
11.4,2.66,5.90
11.6,2.66,5.91
12.6,2.79,5.99
13.3,2.76,5.82
13.9,2.82,5.78
13.3,99.00,99.00
12.9,3.28,6.45
13.5,3.47,6.51
13.4,3.58,6.70
14.0,3.31,6.57
12.7,3.37,6.67
12.6,3.64,7.01
13.3,3.38,6.86
13.6,3.33,6.65
14.0,3.63,6.69
15.1,3.51,6.35
15.2,3.84,6.59
14.7,3.71,6.68
14.3,3.76,6.67
15.9,99.00,99.00
14.5,3.62,6.68
15.9,3.72,6.88
13.6,3.74,7.02
13.2,3.64,6.71
14.8,3.41,6.55
13.1,99.00,99.00
11.5,3.44,6.79
8.4,3.58,6.96
7.5,3.41,6.84
8.3,3.35,7.16
9.8,3.32,7.17
9.1,3.08,6.77
10.0,2.80,6.66
9.7,2.82,6.50
8.9,2.93,6.68
7.8,2.79,6.67
6.9,2.80,6.81
6.8,2.51,6.64
6.3,2.67,6.83
6.1,2.62,6.91
6.0,2.68,6.96
6.7,2.63,7.15
6.3,2.34,6.61
6.9,2.63,7.05
11.2,2.67,6.74
7.7,2.64,6.52
4.5,2.15,6.63
7.8,2.33,7.05
9.6,2.19,6.46
8.3,2.19,6.47
9.3,2.12,6.48
9.2,2.19,6.40
9.3,2.20,5.89
6.3,2.14,5.97
5.2,1.99,6.23
4.8,2.05,6.31
5.9,1.99,6.63
7.0,1.72,6.09
6.8,1.83,6.26
8.2,2.06,6.46
8.9,1.83,5.99
7.5,1.92,5.88
7.8,1.89,5.78
7.4,1.97,5.96
7.3,1.97,6.08
7.7,1.87,5.84
6.8,1.88,5.91
6.4,1.81,5.83
6.3,1.97,6.08
6.3,1.94,6.15
6.2,1.71,5.94
8.1,1.93,6.14
7.9,1.95,5.97
7.1,1.97,6.10
7.6,2.01,6.41
7.7,2.17,6.48
7.4,1.96,6.19
8.5,2.18,6.43
9.4,2.31,6.28
9.0,2.39,6.52
8.7,2.40,6.54
8.6,2.38,6.52
7.8,2.43,6.71
8.3,2.18,6.40
8.5,2.27,6.57
8.9,2.29,6.52
8.3,2.30,6.60
8.3,2.47,6.77
8.8,2.22,6.19
7.7,2.38,6.55
7.9,2.12,6.28
7.9,2.11,6.06
6.6,2.03,6.06
6.5,1.99,6.15
7.1,2.23,6.43
6.6,2.08,6.19
6.0,2.09,6.29
6.3,2.17,6.53
6.4,2.14,6.35
6.9,2.15,6.35
6.8,2.12,6.30
6.3,2.06,6.28
7.0,2.11,6.22
7.2,2.07,6.22
6.2,2.11,6.41
6.3,2.16,6.35
6.8,1.99,6.33
7.5,1.98,6.27
7.1,2.02,6.30
7.9,2.04,6.28
7.9,2.20,6.66
7.9,2.16,6.26
7.3,2.10,6.33
7.9,2.00,6.11
7.0,1.91,6.06
7.4,1.90,6.04
8.0,1.87,5.85
7.9,2.08,6.14
11.3,2.21,5.78
11.1,2.06,5.48
11.3,2.39,5.65
11.1,2.41,5.66
11.9,2.43,5.60
11.2,2.51,5.86
10.5,2.14,5.65
9.7,2.31,5.78
10.1,2.31,5.89
9.9,2.26,5.67
10.5,2.33,5.84
10.8,2.44,6.05
9.7,2.26,5.84
10.0,2.26,6.06
9.7,2.16,5.65
9.5,2.29,5.86
10.1,2.11,5.63
8.6,2.15,5.63
8.4,2.18,5.74
7.6,2.08,5.65
8.2,2.08,5.79
